Group,ANS,INA,IOB,MT,NAW,NBC,NO,PBD,PZT,ZS
AmericanWhite,1,4,2,1,1,4,,0,2,2
AmericanWhite,1,3,1,2,1,4,,0,2,1
AmericanWhite,2,2,1,1,2,3,1,0,2,2
AmericanWhite,2,4,2,1,2,3,0,0,1,2
AmericanWhite,1,3,1,1,1,,1,0,1,
AmericanWhite,1,2,2,1,1,4,0,0,2,1
AmericanWhite,2,3,2,2,1,2,0,0,1,2
AmericanWhite,2,2,2,2,3,1,0,0,2,2
AmericanWhite,,3,2,3,1,4,0,0,1,1
AmericanWhite,2,2,2,2,1,4,0,1,1,2
AmericanWhite,2,3,2,1,1,4,1,1,2,
AmericanWhite,1,2,1,2,2,3,0,0,2,2
AmericanWhite,1,4,2,3,2,1,1,0,2,2
AmericanWhite,1,2,2,1,2,4,0,0,1,1
AmericanWhite,1,2,2,1,1,4,0,,1,
AmericanWhite,1,4,2,3,1,4,0,1,1,2
AmericanWhite,,4,2,1,1,4,0,0,1,2
AmericanWhite,2,3,2,1,1,3,1,,1,2
AmericanWhite,1,3,2,2,1,2,1,0,2,1
AmericanWhite,2,4,2,1,2,1,0,0,1,2
AmericanWhite,2,3,2,1,1,,,0,1,2
Amerindian,2,3,2,3,3,,,0,1,1
Amerindian,2,3,2,2,1,4,0,0,3,1
Amerindian,2,2,2,3,2,3,1,0,1,1
Amerindian,2,3,3,1,3,4,1,0,1,1
Amerindian,2,1,3,1,3,2,1,0,1,1
Amerindian,2,2,1,3,2,3,1,,2,0
Amerindian,2,1,2,2,2,2,0,0,2,2
Amerindian,2,3,3,3,2,3,1,0,2,2
Amerindian,2,1,2,2,2,3,1,0,2,2
Amerindian,2,2,1,3,2,3,0,0,1,1
Amerindian,2,1,2,1,2,1,1,1,1,2
Amerindian,2,3,1,2,2,3,1,0,2,2
Amerindian,2,1,3,3,3,1,1,0,,1
Amerindian,2,2,1,3,1,3,1,0,,2
Amerindian,2,3,1,1,2,0,0,0,2,1
Amerindian,1,2,1,3,2,3,1,0,2,1
Amerindian,2,3,2,3,3,3,1,0,3,0
Amerindian,2,2,1,1,1,3,1,0,1,1
Amerindian,1,2,2,1,3,1,0,0,2,2
Amerindian,1,2,2,1,3,3,0,0,2,2
Amerindian,2,2,2,2,1,3,0,0,2,2
Amerindian,2,2,1,3,2,2,1,0,1,1
Amerindian,2,2,1,2,2,3,1,0,1,1
Amerindian,2,2,2,3,3,3,1,0,2,2
Amerindian,2,3,1,3,1,4,1,0,1,2
Amerindian,,2,2,2,3,3,1,0,1,2
Amerindian,2,2,1,1,2,3,,0,3,2
Amerindian,,3,1,2,3,2,0,0,2,2
Amerindian,2,2,1,3,2,3,1,0,2,1
Amerindian,1,2,1,1,2,3,1,0,2,2
Amerindian,,2,1,2,2,1,0,0,3,2
Amerindian,2,2,1,1,2,3,,0,1,1
Amerindian,2,2,2,2,2,1,1,0,2,1
Amerindian,2,2,1,2,2,3,,0,2,2
Amerindian,1,1,1,1,2,,,0,3,2
Amerindian,2,1,1,1,2,3,1,0,2,2
Amerindian,2,3,1,3,2,3,0,0,2,2
Amerindian,2,3,1,2,2,4,1,0,3,2
Amerindian,2,3,1,3,3,3,1,0,2,2
Amerindian,2,5,1,1,2,3,1,0,1,2
Amerindian,2,2,1,1,2,2,,0,1,1
Amerindian,2,3,1,2,2,3,,0,1,2
Amerindian,2,2,2,3,2,0,1,0,2,1
Amerindian,2,2,2,3,2,,,0,1,
Amerindian,2,2,2,1,3,1,1,0,1,1
Amerindian,2,2,2,1,2,0,0,0,2,1
Amerindian,2,2,1,1,2,2,,0,1,1
Amerindian,2,2,1,2,2,3,1,0,1,2
Amerindian,2,1,1,1,3,3,1,0,2,2
Amerindian,2,2,1,3,2,3,0,0,2,1
Amerindian,2,2,2,3,2,3,1,0,2,1
Amerindian,,1,2,1,3,3,0,0,1,1
Amerindian,,3,1,1,2,3,,0,,1
Amerindian,2,2,1,2,2,2,,0,3,2
Amerindian,2,3,1,3,2,3,,0,1,2
Amerindian,2,4,1,1,1,1,0,0,3,1
Amerindian,1,2,2,1,2,3,,0,1,0
Amerindian,2,4,2,2,2,3,,1,1,2
Amerindian,,4,2,1,1,1,1,0,1,1
Amerindian,2,4,2,1,2,1,1,0,3,0
Amerindian,,,,,1,3,,0,3,0
Amerindian,2,2,1,1,1,3,1,0,1,
Amerindian,2,2,1,2,1,3,0,0,1,
Amerindian,2,1,2,2,2,0,,1,2,2
Amerindian,2,2,2,1,1,3,1,,3,1
Amerindian,2,2,1,3,2,1,,0,2,1
Amerindian,2,2,1,1,3,0,1,,1,1
Amerindian,2,1,1,2,2,0,0,0,3,2
Amerindian,2,2,1,2,2,3,0,0,1,
Amerindian,2,2,1,2,2,3,0,0,1,
Amerindian,2,3,1,2,2,3,1,0,1,1
Amerindian,2,3,1,2,2,3,1,0,1,1
Amerindian,2,3,1,2,2,3,1,0,2,1
Amerindian,2,2,1,2,2,1,1,0,1,1
Amerindian,2,2,3,2,3,0,0,0,1,2
Amerindian,3,3,2,1,2,3,1,0,1,2
Amerindian,3,3,2,1,2,3,1,0,1,2
Amerindian,2,1,1,2,2,3,0,0,2,2
Amerindian,2,3,1,1,2,3,0,0,1,1
Amerindian,2,2,1,2,2,3,1,0,2,1
Amerindian,2,2,1,1,2,1,1,0,1,2
Amerindian,2,3,1,1,2,3,1,0,1,1
